coffee_id,Name,Roaster,Farmer,Region,Country,Elevation,Process,Roast,Varietals,Roaster Notes
335,Yabitu Koba,Revelator,,"Uraga, Guji",Ethiopia,,,,,"Peachy, bright"
336,Chirinos,Reykavik Roasters,,,Peru,,Washed/Sundried,,Caturra 60% | Bourbon 40%,"Dried Cranberries, Caramel"
337,Dona Nenem,Reykavik Roasters,,Carmo de Minas,Brazil,,Natural/Honey,,Yellow Bourbon,"Hazelnut, Tobacco, dark chocolate"
338,Los Gigantes,Ritual,Gigante Area Producers,Huila,Colombia,1700,Washed,,Caturra,"Meyer Lemon, Cranberry, Dark Chocolate"
339,Decaf Los Gigantes,Ritual,Desarrollo Producer Group,Huila,Colombia,1700,Washed,Medium,Caturra,Tropical Fruit and Spice
340,Burundi,Ritual,Munyinya Hill Area Producers,Bukeye,Burundi,,Washed,Light,Bourbon,"Blackberry, Grapefruit, Honey Graham Cracker"
341,Las Manos,Ritual,Santos Alexis Dominguez,Santa Barbara,,1550,Washed,Light,Pacas | Typica,"Grapefruit, Turbinado Sugar, Yerba Mate"
342,Las Nubes,Saint Frank,Alexi Moreno,,Honduras,,,,,"Tropical Fruits, Creamy"
343,Bali Kintamani Natural,Seattle Coffee Works,,Kintamani Highlands,Bali,,Natural,,Typica (Linie S) | Djember | Bourbon,"Raspberry, chocolate, macadamia nut"
344,Divisadero,Seattle Coffee Works,,Divisadero,El Salvador,,,,,
345,Guatemala Huehuetenango La Esperanza Pacamara,Seattle Coffee Works,Aurelio Villatoro,Huehuetenango,Guatemala,1550,Washed,,Pacamara,"Honeydew, Cocoa Nibs, White Grape, Lavender"
346,Panama,Seattle Coffee Works,,"Paso Ancho, Volcan",Panama,,Natural,,Caturra | Catuai,"Red Grape, Cocoa, Brown Sugar"
347,Panama,Seattle Coffee Works,Carlos Aguilera Franceschi,Volcan,Panama,1700,Washed,,Caturra | Catuai,"Pecan, Molasses, Elderberry"
348,Yirgacheffe,Seattle Coffee Works,,Yirgacheffe,Ethiopia,,,,,
349,Cup of Excellence #21,Sey Coffee,Nelson Ramirez,Santa Barbara,Honduras,1600,Washed,,Catuai,"Apple, Kiwi, Chocolate"
350,Colombia,SIght Glass,,El Meridiano,Colombia,,,,,"Concord Grape, Red Apple, Toffee"
